Date,Open,High,Low,Close,Volume,Adj Close,Adj Close SMA(10)
2015-06-10,41.700001,42.310001,41.689999,42.060001,7930000,42.060001,42.71
2015-06-09,41.919998,41.950001,41.02,41.630001,11943500,41.630001,42.84
2015-06-08,42.720001,42.889999,42.00,42.009998,7596300,42.009998,42.96
2015-06-05,42.830002,43.259998,42.700001,42.810001,8307600,42.810001,43.11
2015-06-04,43.09,43.439999,42.759998,42.880001,8055400,42.880001,43.20
2015-06-03,43.299999,43.779999,42.98,43.209999,11884100,43.209999,43.19
2015-06-02,43.18,43.619999,42.919998,43.150002,8863900,43.150002,42.97
2015-06-01,43.049999,43.630001,42.91,43.349998,11150700,43.349998,43.09
2015-05-29,43.450001,43.59,42.810001,42.939999,10901500,42.939999,43.23
2015-05-28,43.060001,43.419998,42.93,43.07,10988400,43.07,43.43
2015-05-27,42.599998,43.439999,42.279999,43.380001,13671900,43.380001,43.56
2015-05-26,43.41,43.50,42.580002,42.849998,12776200,42.849998,43.61
2015-05-22,43.580002,44.00,43.470001,43.490002,10271700,43.490002,43.68
2015-05-21,43.060001,43.869999,43.049999,43.68,30372300,43.68,43.74
2015-05-20,42.279999,43.040001,42.16,42.790001,54383700,42.790001,43.76
2015-05-19,44.380001,44.66,39.119999,40.98,41283000,40.98,43.65
2015-05-18,44.52,44.57,44.040001,44.360001,8278800,44.360001,43.68
2015-05-15,45.00,45.07,44.689999,44.75,7751900,44.75,43.45
2015-05-14,44.529999,44.990002,44.450001,44.950001,10098100,44.950001,43.23
2015-05-13,44.029999,44.669998,43.98,44.400002,10982100,44.400002,42.99
2015-05-12,44.299999,44.310001,43.689999,43.84,14226300,43.84,42.88
2015-05-11,43.82,44.139999,43.59,43.599998,11502600,43.599998,42.93
2015-05-08,44.34,44.549999,44.00,44.09,15699400,44.09,43.00
2015-05-07,44.93,44.98,43.549999,43.869999,28194200,43.869999,43.04
2015-05-06,41.310001,41.73,41.209999,41.66,13921000,41.66,43.03
2015-05-05,41.860001,42.00,40.810001,41.299999,19278500,41.299999,43.26
2015-05-04,42.50,42.549999,41.830002,42.040001,14455200,42.040001,43.58
